timestamp,channel_1,channel_2,channel_3,channel_4
1737030179779945.0,2.0,1.0,1.0,2.0
1737030179887063.0,2.0,1.0,1.0,2.0
1737030179975701.0,2.0,1.0,1.0,2.0
1737030180060887.0,2.0,1.0,1.0,2.0
1737030180146437.0,2.0,1.0,1.0,2.0
1737030180296941.0,2.0,1.0,1.0,2.0
1737030180382227.0,2.0,1.0,1.0,2.0
1737030180488973.0,2.0,1.0,1.0,2.0
1737030180574224.0,2.0,1.0,1.0,2.0
1737030180681963.0,2.0,1.0,1.0,2.0
1737030180769210.0,2.0,1.0,1.0,2.0
1737030180895892.0,2.0,1.0,1.0,2.0
1737030181021976.0,2.0,1.0,1.0,2.0
1737030181087066.0,2.0,1.0,1.0,2.0
1737030181174375.0,2.0,1.0,1.0,2.0
1737030181283051.0,1.0,1.0,1.0,1.0
1737030181368483.0,1.0,1.0,1.0,1.0
1737030181520258.0,1.0,1.0,1.0,1.0
1737030181606171.0,1.0,1.0,1.0,1.0
1737030181714104.0,1.0,1.0,1.0,1.0
1737030181800471.0,1.0,1.0,1.0,1.0
1737030181887155.0,1.0,1.0,1.0,1.0
1737030181973565.0,1.0,1.0,1.0,1.0
1737030182123093.0,1.0,1.0,1.0,1.0
1737030182210997.0,1.0,1.0,1.0,1.0
1737030182319084.0,1.0,1.0,1.0,1.0
1737030182406268.0,1.0,1.0,1.0,1.0
1737030182513374.0,1.0,1.0,1.0,1.0
1737030182599171.0,1.0,1.0,1.0,1.0
1737030182749333.0,1.0,1.0,1.0,1.0
1737030182835266.0,1.0,1.0,1.0,1.0
1737030182941516.0,1.0,1.0,1.0,1.0
1737030183026396.0,1.0,1.0,1.0,1.0
1737030183112156.0,1.0,1.0,1.0,1.0
1737030183198205.0,1.0,1.0,1.0,1.0
1737030183349441.0,1.0,1.0,1.0,1.0
1737030183433988.0,1.0,1.0,1.0,1.0
1737030183521043.0,1.0,1.0,1.0,1.0
