Channel_1,Channel_2,Channel_3,Channel_4
781.685,794.57874,820.7692,759.12085
799.81683,801.8315,796.5934,854.21246
796.99634,796.99634,815.9341,852.6007
787.72894,798.20514,793.7729,792.1612
779.2674,794.9817,817.1429,834.4689
789.7436,796.1905,808.68134,786.52014
788.1319,800.2198,805.05493,816.7399
799.011,801.02563,817.5458,788.1319
796.5934,806.26373,793.36993,782.0879
774.83514,795.38464,814.3223,810.293
786.52014,794.57874,817.5458,834.87177
788.1319,800.2198,805.05493,801.8315
779.67035,799.81683,799.81683,698.68134
780.87915,795.38464,808.68134,727.28937
786.52014,793.7729,804.65204,819.15753
791.75824,795.78754,803.8461,807.47253
793.7729,792.5641,808.68134,805.05493
799.81683,797.8022,808.68134,792.96704
806.26373,799.81683,805.8608,822.381
792.96704,799.41394,800.6227,819.9634
780.87915,802.23444,811.0989,802.6374
800.2198,799.41394,810.293,805.8608
806.6667,798.20514,807.8755,834.87177
800.6227,799.011,804.65204,817.1429
808.2784,797.3993,803.44324,810.293
801.4286,799.81683,813.91943,825.6044
775.2381,792.1612,825.6044,786.9231
783.69965,790.14655,830.4396,795.38464
815.5311,799.011,823.5897,834.87177
817.1429,805.05493,804.65204,783.2967
830.84247,801.8315,824.3956,827.2161
820.3663,808.68134,805.4579,816.337
799.011,798.60803,814.7253,810.293
767.98535,792.5641,814.7253,820.3663
781.28204,792.5641,815.9341,782.49084
801.8315,797.8022,813.1135,775.2381
799.41394,797.3993,804.65204,786.9231
792.5641,792.5641,820.3663,803.8461
787.72894,793.36993,809.4872,790.54944
784.5055,790.54944,814.3223,799.011
793.36993,796.99634,808.2784,824.3956
792.1612,792.5641,809.89014,794.57874
786.1172,795.78754,809.89014,792.5641
794.17584,798.60803,805.05493,805.8608
790.14655,799.41394,805.4579,775.2381
807.8755,801.4286,813.91943,778.0586
797.8022,796.1905,819.15753,813.5165
780.87915,794.17584,814.7253,818.3516
787.72894,793.36993,813.1135,791.75824
792.1612,797.8022,808.2784,783.2967
788.5348,799.41394,808.2784,796.1905
810.696,801.02563,807.47253,803.0403
809.4872,796.1905,813.91943,801.4286
783.69965,794.57874,812.71063,797.3993
785.31134,803.0403,801.8315,782.0879
779.2674,798.20514,811.9048,791.3553
780.07324,797.8022,815.12823,810.696
787.72894,803.44324,800.2198,800.2198
789.7436,804.2491,808.2784,788.1319
792.96704,803.8461,811.9048,805.4579
791.3553,801.8315,806.26373,794.17584
796.99634,801.8315,809.0842,795.78754
796.99634,801.8315,811.9048,798.20514
794.17584,801.8315,807.8755,805.05493
,,,
799.011,805.8608,805.4579,807.0696
799.41394,806.26373,805.8608,778.46155
797.3993,801.8315,807.8755,786.1172
804.65204,801.8315,814.3223,784.90845
793.36993,805.8608,817.9487,783.69965
780.4762,808.2784,811.9048,779.67035
787.72894,808.2784,807.0696,772.8205
788.5348,805.05493,809.0842,789.34064
796.1905,798.20514,807.47253,778.46155
791.3553,795.38464,809.0842,792.1612
790.54944,805.8608,806.26373,771.6117
792.1612,805.4579,807.47253,775.64105
785.31134,802.23444,808.2784,785.31134
787.72894,799.011,807.47253,791.75824
776.04395,796.99634,807.8755,787.326
782.8938,794.9817,809.0842,776.4469
797.8022,792.1612,811.50183,785.7143
